Restaurant;Adresse;Rubrik;Preisspanne;Google_Maps;Website
jaja;Weichselstraße 7, 12043 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=jaja%2C%20Weichselstra%C3%9Fe%207%2C%2012043%20Berlin;
JOHANN Bäckerei;Gleditschstraße 47, 10781 Berlin;sweets, breakfast;€;https://www.google.com/maps/search/?api=1&query=JOHANN%20B%C3%A4ckerei%2C%20Gleditschstra%C3%9Fe%2047%2C%2010781%20Berlin;
Jolie Bistrot;Lützowstraße 23, 10785 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Jolie%20Bistrot%2C%20L%C3%BCtzowstra%C3%9Fe%2023%2C%2010785%20Berlin;https://www.joliebistrot.de
Jones Ice Cream;Goltzstr. 3, 10781 Berlin;sweets;€;https://www.google.com/maps/search/?api=1&query=Jones%20Ice%20Cream%2C%20Goltzstr.%203%2C%2010781%20Berlin;
Jules Geisberg;Geisbergstraße 9, 10777 Berlin;coffee, breakfast;€;https://www.google.com/maps/search/?api=1&query=Jules%20Geisberg%2C%20Geisbergstra%C3%9Fe%209%2C%2010777%20Berlin;https://julesgeisberg.de
Julius;Gerichtstraße 31, 13347 Berlin;coffee, dinner;€€€;https://www.google.com/maps/search/?api=1&query=Julius%2C%20Gerichtstra%C3%9Fe%2031%2C%2013347%20Berlin;
Jungbluth;Lepsiusstr. 63, 12163 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Jungbluth%2C%20Lepsiusstr.%2063%2C%2012163%20Berlin;https://jungbluth.berlin
Kanal61;Pannierstraße 61, 12047 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Kanal61%2C%20Pannierstra%C3%9Fe%2061%2C%2012047%20Berlin;
Kitten Deli;Friedelstraße 30, 12047 Berlin;breakfast, lunch;€€;https://www.google.com/maps/search/?api=1&query=Kitten%20Deli%2C%20Friedelstra%C3%9Fe%2030%2C%2012047%20Berlin;https://kittendeli.de
Knödelwirtschaft NORD;Stargarder Str. 3, 10437 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Kn%C3%B6delwirtschaft%20NORD%2C%20Stargarder%20Str.%203%2C%2010437%20Berlin;
Kuréme;Waldemarstraße 48, 10997 Berlin;sweets, coffee;€;https://www.google.com/maps/search/?api=1&query=Kur%C3%A9me%2C%20Waldemarstra%C3%9Fe%2048%2C%2010997%20Berlin;
L'Eustache Restaurant;Weisestr. 49, 12049 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=L%27Eustache%20Restaurant%2C%20Weisestr.%2049%2C%2012049%20Berlin;
La Bolognina;Donaustraße 107, 12043 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=La%20Bolognina%2C%20Donaustra%C3%9Fe%20107%2C%2012043%20Berlin;
La Cantine d'Augusta;Langenscheidtstr. 6, 10827 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=La%20Cantine%20d%27Augusta%2C%20Langenscheidtstr.%206%2C%2010827%20Berlin;
La Côte;Kienitzer Straße 95, 12049 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=La%20C%C3%B4te%2C%20Kienitzer%20Stra%C3%9Fe%2095%2C%2012049%20Berlin;
Lala;Dieffenbachstraße 11, 10967 Berlin;breakfast, lunch;€€;https://www.google.com/maps/search/?api=1&query=Lala%2C%20Dieffenbachstra%C3%9Fe%2011%2C%2010967%20Berlin;
Larb Koi;Krossener Str. 15, 10245 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Larb%20Koi%2C%20Krossener%20Str.%2015%2C%2010245%20Berlin;https://www.larbkoi.com
Le Balto;Hobrechtstraße 28, 12047 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Le%20Balto%2C%20Hobrechtstra%C3%9Fe%2028%2C%2012047%20Berlin;
LIU 成du味道面馆;Kronenstraße 72, 10117 Berlin;lunch;€€;https://www.google.com/maps/search/?api=1&query=LIU%20%E6%88%90du%E5%91%B3%E9%81%93%E9%9D%A2%E9%A6%86%2C%20Kronenstra%C3%9Fe%2072%2C%2010117%20Berlin;
Lo Fūfu;Kantstraße 144, 10623 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Lo%20F%C5%ABfu%2C%20Kantstra%C3%9Fe%20144%2C%2010623%20Berlin;https://www.lofufu.com
Lucky Katsu;Leibnizstraße 70B, 10625 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Lucky%20Katsu%2C%20Leibnizstra%C3%9Fe%2070B%2C%2010625%20Berlin;https://www.luckykatsuberlin.de
Maître Philippe & Filles;Emser Str. 42, 10719 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Ma%C3%AEtre%20Philippe%20%26%20Filles%2C%20Emser%20Str.%2042%2C%2010719%20Berlin;https://www.maitrephilippe.de
Mamida;Dunckerstraße 80A, 10437 Berlin;pizza, dinner;€€;https://www.google.com/maps/search/?api=1&query=Mamida%2C%20Dunckerstra%C3%9Fe%2080A%2C%2010437%20Berlin;
Material;Schönhauser Allee 156, 10435 Berlin;coffee, breakfast;€€;https://www.google.com/maps/search/?api=1&query=Material%2C%20Sch%C3%B6nhauser%20Allee%20156%2C%2010435%20Berlin;https://material.cafe
Momo Mochi Donut;Heinrich-Roller-Straße 10, 10405 Berlin;sweets;€;https://www.google.com/maps/search/?api=1&query=Momo%20Mochi%20Donut%2C%20Heinrich-Roller-Stra%C3%9Fe%2010%2C%2010405%20Berlin;
NaNum;Lindenstraße 90, 10969 Berlin;dinner, lunch;€€€€;https://www.google.com/maps/search/?api=1&query=NaNum%2C%20Lindenstra%C3%9Fe%2090%2C%2010969%20Berlin;
NemNem Restaurant;Linienstraße 134, 10115 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=NemNem%20Restaurant%2C%20Linienstra%C3%9Fe%20134%2C%2010115%20Berlin;
NOVEMBER Brasserie;Danziger Str. 26, 10435 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=NOVEMBER%20Brasserie%2C%20Danziger%20Str.%2026%2C%2010435%20Berlin;https://november-brasserie.com
onette;Grunewaldstraße 11, 10781 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=onette%2C%20Grunewaldstra%C3%9Fe%2011%2C%2010781%20Berlin;
ORA Restaurant & Wine Bar;Oranienplatz 14, 10999 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=ORA%20Restaurant%20%26%20Wine%20Bar%2C%20Oranienplatz%2014%2C%2010999%20Berlin;https://ora.berlin
Österelli;Bismarckstraße 6, 10625 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=%C3%96sterelli%2C%20Bismarckstra%C3%9Fe%206%2C%2010625%20Berlin;https://www.oesterelli.de
otto;Oderberger Str. 56, 10435 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=otto%2C%20Oderberger%20Str.%2056%2C%2010435%20Berlin;
Pan Africa Restaurant;Kirchhofstr. 41, 12055 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Pan%20Africa%20Restaurant%2C%20Kirchhofstr.%2041%2C%2012055%20Berlin;
Philomeni's Greek Delicious;Knesebeckstraße 97, 10623 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Philomeni%27s%20Greek%20Delicious%2C%20Knesebeckstra%C3%9Fe%2097%2C%2010623%20Berlin;
Pinci;Lindenstraße 1, 10969 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Pinci%2C%20Lindenstra%C3%9Fe%201%2C%2010969%20Berlin;
Pluto;Donaustraße 120, 12043 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Pluto%2C%20Donaustra%C3%9Fe%20120%2C%2012043%20Berlin;
Restaurant 893 Ryōtei;Kantstraße 135, 10623 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Restaurant%20893%20Ry%C5%8Dtei%2C%20Kantstra%C3%9Fe%20135%2C%2010623%20Berlin;https://893ryotei.de
Restaurant Jolesch;Muskauer Str. 1, 10997 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Restaurant%20Jolesch%2C%20Muskauer%20Str.%201%2C%2010997%20Berlin;https://www.jolesch.de
Ripieno;Oderstraße 1, 10247 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Ripieno%2C%20Oderstra%C3%9Fe%201%2C%2010247%20Berlin;
SAN;Weydingerstraße 22, 10178 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=SAN%2C%20Weydingerstra%C3%9Fe%2022%2C%2010178%20Berlin;
Sardinen Bar;Grunewaldstr. 79, 10823 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Sardinen%20Bar%2C%20Grunewaldstr.%2079%2C%2010823%20Berlin;https://www.sardinenbar.de
